REGIO,GMCODE,VRCODE,VRNAME,INHABITANTS
Groningen (gemeente),GM0014,VR01,Groningen,232874
Gulpen-Wittem,GM1729,VR24,Limburg-Zuid,14171
Haaksbergen,GM0158,VR05,Twente,24311
Haaren,GM0788,VR21,Brabant-Noord,14370
Haarlem,GM0392,VR12,Kennemerland,162902
Haarlemmermeer,GM0394,VR12,Kennemerland,156002
Halderberge,GM1655,VR20,Midden-enWest-Brabant,30284
Hardenberg,GM0160,VR04,IJsselland,60948
Harderwijk,GM0243,VR06,Noord-enOost-Gelderland,48414
Hardinxveld-Giessendam,GM0523,VR18,Zuid-Holland-Zuid,18295
Harlingen,GM0072,VR02,Fryslân,15722
Hattem,GM0244,VR06,Noord-enOost-Gelderland,12209
Heemskerk,GM0396,VR12,Kennemerland,39182
Heemstede,GM0397,VR12,Kennemerland,27234
Heerde,GM0246,VR06,Noord-enOost-Gelderland,18589
Heerenveen,GM0074,VR02,Fryslân,50493
Heerhugowaard,GM0398,VR10,Noord-Holland-Noord,57587
Heerlen,GM0917,VR24,Limburg-Zuid,87086
Heeze-Leende,GM1658,VR22,Brabant-Zuidoost,16152
Heiloo,GM0399,VR10,Noord-Holland-Noord,23968
Den Helder,GM0400,VR10,Noord-Holland-Noord,56296
Hellendoorn,GM0163,VR05,Twente,35916
Hellevoetsluis,GM0530,VR17,Rotterdam-Rijnmond,40142
Helmond,GM0794,VR22,Brabant-Zuidoost,92423
Hendrik-Ido-Ambacht,GM0531,VR18,Zuid-Holland-Zuid,31202
Hengelo (O.),GM0164,VR05,Twente,81140
's-Hertogenbosch,GM0796,VR21,Brabant-Noord,155111
Heumen,GM0252,VR08,Gelderland-Zuid,16454
Heusden,GM0797,VR21,Brabant-Noord,44692
Hillegom,GM0534,VR16,Hollands-Midden,22209
Hilvarenbeek,GM0798,VR20,Midden-enWest-Brabant,15518
Hilversum,GM0402,VR14,GooienVechtstreek,90831
Hoeksche Waard,GM1963,VR18,Zuid-Holland-Zuid,87401
Hof van Twente,GM1735,VR05,Twente,35017
Het Hogeland,GM1966,VR01,Groningen,47801
Hollands Kroon,GM1911,VR10,Noord-Holland-Noord,48432
Hoogeveen,GM0118,VR03,Drenthe,55699
Hoorn,GM0405,VR10,Noord-Holland-Noord,73261
Horst aan de Maas,GM1507,VR23,Limburg-Noord,42429
Houten,GM0321,VR09,Utrecht,50146
Huizen,GM0406,VR14,GooienVechtstreek,41273
Hulst,GM0677,VR19,Zeeland,27556
IJsselstein,GM0353,VR09,Utrecht,34109
Kaag en Braassem,GM1884,VR16,Hollands-Midden,27297
Kampen,GM0166,VR04,IJsselland,54319
Kapelle,GM0678,VR19,Zeeland,12695
Katwijk,GM0537,VR16,Hollands-Midden,65753
Kerkrade,GM0928,VR24,Limburg-Zuid,45749
Koggenland,GM1598,VR10,Noord-Holland-Noord,22749
Krimpen aan den IJssel,GM0542,VR17,Rotterdam-Rijnmond,29526
Krimpenerwaard,GM1931,VR16,Hollands-Midden,56319
Laarbeek,GM1659,VR22,Brabant-Zuidoost,22523
Landerd,GM1685,VR21,Brabant-Noord,15730
Landgraaf,GM0882,VR24,Limburg-Zuid,37445
Landsmeer,GM0415,VR11,Zaanstreek-Waterland,11491
Langedijk,GM0416,VR10,Noord-Holland-Noord,28163
Lansingerland,GM1621,VR17,Rotterdam-Rijnmond,62384
Laren (NH.),GM0417,VR14,GooienVechtstreek,11280
Leeuwarden,GM0080,VR02,Fryslân,124084
Leiden,GM0546,VR16,Hollands-Midden,125099
Leiderdorp,GM0547,VR16,Hollands-Midden,27056
Leidschendam-Voorburg,GM1916,VR15,Haaglanden,76534
Lelystad,GM0995,VR25,Flevoland,78598
Leudal,GM1640,VR23,Limburg-Noord,35879
Leusden,GM0327,VR09,Utrecht,30401
Lingewaard,GM1705,VR07,Gelderland-Midden,46601
Lisse,GM0553,VR16,Hollands-Midden,22955
Lochem,GM0262,VR06,Noord-enOost-Gelderland,33729
Loon op Zand,GM0809,VR20,Midden-enWest-Brabant,23408
Lopik,GM0331,VR09,Utrecht,14467
Loppersum,GM0024,VR01,Groningen,9537
Losser,GM0168,VR05,Twente,22683
Maasdriel,GM0263,VR08,Gelderland-Zuid,25030
Maasgouw,GM1641,VR23,Limburg-Noord,23965
Maassluis,GM0556,VR17,Rotterdam-Rijnmond,33213
Maastricht,GM0935,VR24,Limburg-Zuid,121575
Medemblik,GM0420,VR10,Noord-Holland-Noord,45101
Meerssen,GM0938,VR24,Limburg-Zuid,18828
Meierijstad,GM1948,VR21,Brabant-Noord,81194
Meppel,GM0119,VR03,Drenthe,33920
Middelburg (Z.),GM0687,VR19,Zeeland,48822
Midden-Delfland,GM1842,VR15,Haaglanden,19341
Midden-Drenthe,GM1731,VR03,Drenthe,33185
Midden-Groningen,GM1952,VR01,Groningen,60797
Mill en Sint Hubert,GM0815,VR21,Brabant-Noord,10939
Moerdijk,GM1709,VR20,Midden-enWest-Brabant,37129
Molenlanden,GM1978,VR18,Zuid-Holland-Zuid,43909
Montferland,GM1955,VR06,Noord-enOost-Gelderland,36011
Montfoort,GM0335,VR09,Utrecht,13917
Mook en Middelaar,GM0944,VR23,Limburg-Noord,7847
Neder-Betuwe,GM1740,VR08,Gelderland-Zuid,24339
Nederweert,GM0946,VR23,Limburg-Noord,17019
Nieuwegein,GM0356,VR09,Utrecht,63462
Nieuwkoop,GM0569,VR16,Hollands-Midden,28811
Nijkerk,GM0267,VR07,Gelderland-Midden,43171
Nijmegen,GM0268,VR08,Gelderland-Zuid,177659
Nissewaard,GM1930,VR17,Rotterdam-Rijnmond,85219
Noardeast-Fryslân,GM1970,VR02,Fryslân,45228
Noord-Beveland,GM1695,VR19,Zeeland,7392
Noordenveld,GM1699,VR03,Drenthe,31253
Noordoostpolder,GM0171,VR25,Flevoland,47291
Noordwijk,GM0575,VR16,Hollands-Midden,43508
Nuenen c.a.,GM0820,VR22,Brabant-Zuidoost,23383
Nunspeet,GM0302,VR06,Noord-enOost-Gelderland,27851
Oegstgeest,GM0579,VR16,Hollands-Midden,24840
Oirschot,GM0823,VR22,Brabant-Zuidoost,18714
Oisterwijk,GM0824,VR20,Midden-enWest-Brabant,26245
Oldambt,GM1895,VR01,Groningen,38209
Oldebroek,GM0269,VR06,Noord-enOost-Gelderland,23646
Oldenzaal,GM0173,VR05,Twente,31836
Olst-Wijhe,GM1773,VR04,IJsselland,18252
Ommen,GM0175,VR04,IJsselland,18009
Oost Gelre,GM1586,VR06,Noord-enOost-Gelderland,29627
