ID,GMCODE,GMNAAM,VRCODE,VRNAAM,DATE_LAST_INSERTED
64,GM0216,Culemborg,VR08,Gelderland-Zuid,2020-08-03 10:49:31.013
65,GM0148,Dalfsen,VR04,IJsselland,2020-08-03 10:49:31.013
66,GM1891,Dantumadiel,VR02,Fryslân,2020-08-03 10:49:31.013
67,GM0503,Delft,VR15,Haaglanden,2020-08-03 10:49:31.013
68,GM0010,Delfzijl,VR01,Groningen,2020-08-03 10:49:31.013
69,GM0762,Deurne,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
70,GM0150,Deventer,VR04,IJsselland,2020-08-03 10:49:31.013
71,GM0384,Diemen,VR13,Amsterdam-Amstelland,2020-08-03 10:49:31.013
72,GM1774,Dinkelland,VR05,Twente,2020-08-03 10:49:31.013
73,GM0221,Doesburg,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
74,GM0222,Doetinchem,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
75,GM0766,Dongen,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
76,GM0505,Dordrecht,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
77,GM0498,Drechterland,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
78,GM1719,Drimmelen,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
79,GM0303,Dronten,VR25,Flevoland,2020-08-03 10:49:31.013
80,GM0225,Druten,VR08,Gelderland-Zuid,2020-08-03 10:49:31.013
81,GM0226,Duiven,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
82,GM1711,Echt-Susteren,VR23,Limburg-Noord,2020-08-03 10:49:31.013
83,GM0385,Edam-Volendam,VR11,Zaanstreek-Waterland,2020-08-03 10:49:31.013
84,GM0228,Ede,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
85,GM0317,Eemnes,VR09,Utrecht,2020-08-03 10:49:31.013
86,GM0770,Eersel,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
87,GM1903,Eijsden-Margraten,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
88,GM0772,Eindhoven,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
89,GM0230,Elburg,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
90,GM0114,Emmen,VR03,Drenthe,2020-08-03 10:49:31.013
91,GM0388,Enkhuizen,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
92,GM0153,Enschede,VR05,Twente,2020-08-03 10:49:31.013
93,GM0232,Epe,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
94,GM0233,Ermelo,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
95,GM0777,Etten-Leur,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
96,GM1940,De Fryske Marren,VR02,Fryslân,2020-08-03 10:49:31.013
97,GM0779,Geertruidenberg,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
98,GM1771,Geldrop-Mierlo,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
99,GM1652,Gemert-Bakel,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
100,GM0907,Gennep,VR23,Limburg-Noord,2020-08-03 10:49:31.013
101,GM0784,Gilze en Rijen,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
102,GM1924,Goeree-Overflakkee,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
103,GM0664,Goes,VR19,Zeeland,2020-08-03 10:49:31.013
104,GM0785,Goirle,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
105,GM1942,Gooise Meren,VR14,GooienVechtstreek,2020-08-03 10:49:31.013
106,GM0512,Gorinchem,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
