ID,GMCODE,GMNAAM,VRCODE,VRNAAM,DATE_LAST_INSERTED
173,GM1640,Leudal,VR23,Limburg-Noord,2020-09-09 06:28:01.893
174,GM0327,Leusden,VR09,Utrecht,2020-09-09 06:28:01.893
175,GM1705,Lingewaard,VR07,Gelderland-Midden,2020-09-09 06:28:01.893
176,GM0553,Lisse,VR16,Hollands-Midden,2020-09-09 06:28:01.893
177,GM0262,Lochem,VR06,Noord-enOost-Gelderland,2020-09-09 06:28:01.893
178,GM0809,Loon op Zand,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.893
179,GM0331,Lopik,VR09,Utrecht,2020-09-09 06:28:01.893
180,GM0024,Loppersum,VR01,Groningen,2020-09-09 06:28:01.893
181,GM0168,Losser,VR05,Twente,2020-09-09 06:28:01.893
182,GM0263,Maasdriel,VR08,Gelderland-Zuid,2020-09-09 06:28:01.893
183,GM1641,Maasgouw,VR23,Limburg-Noord,2020-09-09 06:28:01.893
184,GM0556,Maassluis,VR17,Rotterdam-Rijnmond,2020-09-09 06:28:01.893
185,GM0935,Maastricht,VR24,Limburg-Zuid,2020-09-09 06:28:01.893
186,GM0420,Medemblik,VR10,Noord-Holland-Noord,2020-09-09 06:28:01.893
187,GM0938,Meerssen,VR24,Limburg-Zuid,2020-09-09 06:28:01.893
188,GM1948,Meierijstad,VR21,Brabant-Noord,2020-09-09 06:28:01.893
189,GM0119,Meppel,VR03,Drenthe,2020-09-09 06:28:01.893
190,GM0687,Middelburg (Z.),VR19,Zeeland,2020-09-09 06:28:01.893
191,GM1842,Midden-Delfland,VR15,Haaglanden,2020-09-09 06:28:01.893
192,GM1731,Midden-Drenthe,VR03,Drenthe,2020-09-09 06:28:01.893
193,GM1952,Midden-Groningen,VR01,Groningen,2020-09-09 06:28:01.893
194,GM0815,Mill en Sint Hubert,VR21,Brabant-Noord,2020-09-09 06:28:01.893
195,GM1709,Moerdijk,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.893
196,GM1978,Molenlanden,VR18,Zuid-Holland-Zuid,2020-09-09 06:28:01.893
197,GM1955,Montferland,VR06,Noord-enOost-Gelderland,2020-09-09 06:28:01.893
198,GM0335,Montfoort,VR09,Utrecht,2020-09-09 06:28:01.897
199,GM0944,Mook en Middelaar,VR23,Limburg-Noord,2020-09-09 06:28:01.897
200,GM1740,Neder-Betuwe,VR08,Gelderland-Zuid,2020-09-09 06:28:01.897
201,GM0946,Nederweert,VR23,Limburg-Noord,2020-09-09 06:28:01.897
202,GM0356,Nieuwegein,VR09,Utrecht,2020-09-09 06:28:01.900
203,GM0569,Nieuwkoop,VR16,Hollands-Midden,2020-09-09 06:28:01.900
204,GM0267,Nijkerk,VR07,Gelderland-Midden,2020-09-09 06:28:01.900
205,GM0268,Nijmegen,VR08,Gelderland-Zuid,2020-09-09 06:28:01.900
206,GM1930,Nissewaard,VR17,Rotterdam-Rijnmond,2020-09-09 06:28:01.900
207,GM1970,Noardeast-Fryslân,VR02,Fryslân,2020-09-09 06:28:01.900
208,GM1695,Noord-Beveland,VR19,Zeeland,2020-09-09 06:28:01.900
209,GM1699,Noordenveld,VR03,Drenthe,2020-09-09 06:28:01.900
210,GM0171,Noordoostpolder,VR25,Flevoland,2020-09-09 06:28:01.900
211,GM0575,Noordwijk,VR16,Hollands-Midden,2020-09-09 06:28:01.900
212,GM0820,Nuenen c.a.,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.900
213,GM0302,Nunspeet,VR06,Noord-enOost-Gelderland,2020-09-09 06:28:01.900
214,GM0579,Oegstgeest,VR16,Hollands-Midden,2020-09-09 06:28:01.900
215,GM0823,Oirschot,VR22,Brabant-Zuidoost,2020-09-09 06:28:01.900
216,GM0824,Oisterwijk,VR20,Midden-enWest-Brabant,2020-09-09 06:28:01.900
217,GM1895,Oldambt,VR01,Groningen,2020-09-09 06:28:01.900
218,GM0269,Oldebroek,VR06,Noord-enOost-Gelderland,2020-09-09 06:28:01.900
219,GM0173,Oldenzaal,VR05,Twente,2020-09-09 06:28:01.900
220,GM1773,Olst-Wijhe,VR04,IJsselland,2020-09-09 06:28:01.900
