Week;Seizoenspatroon met marges;Ondergrens;Bovengrens;VR naam;VR Code
2020 week 48;83;69;97;Zuid-Holland-Zuid;VR18
2020 week 49;84;68;100;Zuid-Holland-Zuid;VR18
2020 week 50;84;69;99;Zuid-Holland-Zuid;VR18
2020 week 51;86;70;102;Zuid-Holland-Zuid;VR18
2020 week 52;89;73;105;Zuid-Holland-Zuid;VR18
2020 week 53;90;73;107;Zuid-Holland-Zuid;VR18
2021 week 1;91;73;109;Zuid-Holland-Zuid;VR18
2021 week 2;91;72;110;Zuid-Holland-Zuid;VR18
2021 week 3;93;75;111;Zuid-Holland-Zuid;VR18
2021 week 4;93;78;108;Zuid-Holland-Zuid;VR18
2021 week 5;94;79;109;Zuid-Holland-Zuid;VR18
2021 week 6;93;76;110;Zuid-Holland-Zuid;VR18
2021 week 7;93;73;113;Zuid-Holland-Zuid;VR18
2021 week 8;92;71;113;Zuid-Holland-Zuid;VR18
2021 week 9;91;70;112;Zuid-Holland-Zuid;VR18
2021 week 10;89;69;109;Zuid-Holland-Zuid;VR18
2021 week 11;87;66;108;Zuid-Holland-Zuid;VR18
2021 week 12;84;63;105;Zuid-Holland-Zuid;VR18
2021 week 13;83;64;102;Zuid-Holland-Zuid;VR18
2021 week 14;80;64;96;Zuid-Holland-Zuid;VR18
2021 week 15;79;64;94;Zuid-Holland-Zuid;VR18
2021 week 16;77;61;93;Zuid-Holland-Zuid;VR18
2021 week 17;76;61;91;Zuid-Holland-Zuid;VR18
2021 week 18;74;58;90;Zuid-Holland-Zuid;VR18
2021 week 19;74;59;89;Zuid-Holland-Zuid;VR18
2021 week 20;72;58;86;Zuid-Holland-Zuid;VR18
2021 week 21;73;60;86;Zuid-Holland-Zuid;VR18
2021 week 22;73;59;87;Zuid-Holland-Zuid;VR18
2021 week 23;73;60;86;Zuid-Holland-Zuid;VR18
2021 week 24;74;60;88;Zuid-Holland-Zuid;VR18
2021 week 25;74;60;88;Zuid-Holland-Zuid;VR18
2021 week 26;74;61;87;Zuid-Holland-Zuid;VR18
2021 week 27;75;61;89;Zuid-Holland-Zuid;VR18
2021 week 28;74;59;89;Zuid-Holland-Zuid;VR18
2021 week 29;74;60;88;Zuid-Holland-Zuid;VR18
2021 week 30;73;59;87;Zuid-Holland-Zuid;VR18
2021 week 31;72;59;85;Zuid-Holland-Zuid;VR18
2021 week 32;72;58;86;Zuid-Holland-Zuid;VR18
2021 week 33;72;56;88;Zuid-Holland-Zuid;VR18
2021 week 34;72;56;88;Zuid-Holland-Zuid;VR18
2021 week 35;72;57;87;Zuid-Holland-Zuid;VR18
2021 week 36;74;60;88;Zuid-Holland-Zuid;VR18
2021 week 37;74;58;90;Zuid-Holland-Zuid;VR18
2021 week 38;74;55;93;Zuid-Holland-Zuid;VR18
2021 week 39;76;56;96;Zuid-Holland-Zuid;VR18
2021 week 40;78;60;96;Zuid-Holland-Zuid;VR18
2021 week 41;78;60;96;Zuid-Holland-Zuid;VR18
2021 week 42;79;60;98;Zuid-Holland-Zuid;VR18
2021 week 43;80;59;101;Zuid-Holland-Zuid;VR18
2021 week 44;82;64;100;Zuid-Holland-Zuid;VR18
2021 week 45;81;64;98;Zuid-Holland-Zuid;VR18
2021 week 46;82;67;97;Zuid-Holland-Zuid;VR18
2021 week 47;84;70;98;Zuid-Holland-Zuid;VR18
2021 week 48;84;70;98;Zuid-Holland-Zuid;VR18
2021 week 49;85;69;101;Zuid-Holland-Zuid;VR18
2021 week 50;85;70;100;Zuid-Holland-Zuid;VR18
2021 week 51;87;71;103;Zuid-Holland-Zuid;VR18
2021 week 52;90;74;106;Zuid-Holland-Zuid;VR18
2020 week 1;85;62;108;Zeeland;VR19
2020 week 2;87;61;112;Zeeland;VR19
2020 week 3;88;63;113;Zeeland;VR19
2020 week 4;90;65;114;Zeeland;VR19
2020 week 5;91;70;113;Zeeland;VR19
2020 week 6;91;67;114;Zeeland;VR19
2020 week 7;91;68;115;Zeeland;VR19
2020 week 8;91;66;116;Zeeland;VR19
2020 week 9;90;67;113;Zeeland;VR19
2020 week 10;88;65;112;Zeeland;VR19
2020 week 11;86;65;107;Zeeland;VR19
2020 week 12;85;64;105;Zeeland;VR19
2020 week 13;83;66;100;Zeeland;VR19
2020 week 14;80;64;95;Zeeland;VR19
2020 week 15;76;64;89;Zeeland;VR19
2020 week 16;75;63;86;Zeeland;VR19
2020 week 17;74;62;87;Zeeland;VR19
2020 week 18;74;60;88;Zeeland;VR19
2020 week 19;73;58;87;Zeeland;VR19
2020 week 20;73;58;89;Zeeland;VR19
2020 week 21;74;59;89;Zeeland;VR19
2020 week 22;74;59;90;Zeeland;VR19
2020 week 23;74;56;92;Zeeland;VR19
2020 week 24;74;56;91;Zeeland;VR19
2020 week 25;73;56;90;Zeeland;VR19
2020 week 26;72;55;89;Zeeland;VR19
2020 week 27;72;55;88;Zeeland;VR19
2020 week 28;71;53;88;Zeeland;VR19
2020 week 29;71;53;89;Zeeland;VR19
2020 week 30;69;52;87;Zeeland;VR19
2020 week 31;69;53;84;Zeeland;VR19
2020 week 32;68;53;83;Zeeland;VR19
2020 week 33;69;55;83;Zeeland;VR19
2020 week 34;69;53;85;Zeeland;VR19
2020 week 35;69;54;84;Zeeland;VR19
2020 week 36;69;54;84;Zeeland;VR19
2020 week 37;70;55;85;Zeeland;VR19
2020 week 38;70;53;87;Zeeland;VR19
2020 week 39;72;56;88;Zeeland;VR19
2020 week 40;73;56;91;Zeeland;VR19
2020 week 41;74;58;90;Zeeland;VR19
2020 week 42;75;59;92;Zeeland;VR19
2020 week 43;76;60;93;Zeeland;VR19
2020 week 44;77;59;94;Zeeland;VR19
2020 week 45;78;62;95;Zeeland;VR19
2020 week 46;77;59;95;Zeeland;VR19
2020 week 47;78;61;94;Zeeland;VR19
2020 week 48;79;60;97;Zeeland;VR19
2020 week 49;78;57;99;Zeeland;VR19
2020 week 50;79;56;101;Zeeland;VR19
2020 week 51;81;59;103;Zeeland;VR19
2020 week 52;82;59;105;Zeeland;VR19
2020 week 53;84;61;107;Zeeland;VR19
2021 week 1;86;63;109;Zeeland;VR19
2021 week 2;87;62;113;Zeeland;VR19
2021 week 3;89;64;113;Zeeland;VR19
2021 week 4;91;66;115;Zeeland;VR19
2021 week 5;92;71;114;Zeeland;VR19
2021 week 6;92;68;115;Zeeland;VR19
2021 week 7;92;69;116;Zeeland;VR19
2021 week 8;92;67;117;Zeeland;VR19
2021 week 9;91;68;114;Zeeland;VR19
2021 week 10;89;66;112;Zeeland;VR19
2021 week 11;87;66;108;Zeeland;VR19
2021 week 12;86;65;106;Zeeland;VR19
2021 week 13;84;67;100;Zeeland;VR19
2021 week 14;80;65;95;Zeeland;VR19
2021 week 15;77;65;90;Zeeland;VR19
2021 week 16;76;64;87;Zeeland;VR19
2021 week 17;75;62;88;Zeeland;VR19
2021 week 18;75;61;89;Zeeland;VR19
2021 week 19;73;59;88;Zeeland;VR19
2021 week 20;74;58;90;Zeeland;VR19
2021 week 21;75;60;90;Zeeland;VR19
2021 week 22;75;59;90;Zeeland;VR19
2021 week 23;75;57;93;Zeeland;VR19
2021 week 24;74;57;92;Zeeland;VR19
2021 week 25;74;56;91;Zeeland;VR19
2021 week 26;73;55;90;Zeeland;VR19
2021 week 27;72;56;88;Zeeland;VR19
2021 week 28;71;54;89;Zeeland;VR19
2021 week 29;72;54;90;Zeeland;VR19
2021 week 30;70;53;87;Zeeland;VR19
2021 week 31;70;54;85;Zeeland;VR19
2021 week 32;69;54;84;Zeeland;VR19
2021 week 33;70;55;84;Zeeland;VR19
2021 week 34;69;53;85;Zeeland;VR19
2021 week 35;70;55;85;Zeeland;VR19
2021 week 36;69;54;85;Zeeland;VR19
2021 week 37;71;55;86;Zeeland;VR19
2021 week 38;71;54;88;Zeeland;VR19
2021 week 39;72;56;89;Zeeland;VR19
2021 week 40;74;56;91;Zeeland;VR19
2021 week 41;74;58;91;Zeeland;VR19
2021 week 42;76;59;93;Zeeland;VR19
2021 week 43;77;60;94;Zeeland;VR19
2021 week 44;77;60;95;Zeeland;VR19
2021 week 45;79;63;95;Zeeland;VR19
2021 week 46;78;60;96;Zeeland;VR19
2021 week 47;78;62;95;Zeeland;VR19
2021 week 48;79;60;98;Zeeland;VR19
2021 week 49;79;58;100;Zeeland;VR19
2021 week 50;79;57;102;Zeeland;VR19
2021 week 51;81;59;103;Zeeland;VR19
2021 week 52;83;59;106;Zeeland;VR19
2020 week 1;222;185;259;VR Midden- en West-Brabant;VR20
2020 week 2;225;187;263;VR Midden- en West-Brabant;VR20
2020 week 3;230;188;272;VR Midden- en West-Brabant;VR20
2020 week 4;234;193;275;VR Midden- en West-Brabant;VR20
2020 week 5;237;190;284;VR Midden- en West-Brabant;VR20
2020 week 6;239;187;291;VR Midden- en West-Brabant;VR20
2020 week 7;239;185;293;VR Midden- en West-Brabant;VR20
2020 week 8;238;180;296;VR Midden- en West-Brabant;VR20
2020 week 9;237;182;292;VR Midden- en West-Brabant;VR20
2020 week 10;233;183;283;VR Midden- en West-Brabant;VR20
2020 week 11;228;182;274;VR Midden- en West-Brabant;VR20
2020 week 12;220;181;259;VR Midden- en West-Brabant;VR20
2020 week 13;212;182;242;VR Midden- en West-Brabant;VR20
2020 week 14;207;178;236;VR Midden- en West-Brabant;VR20
2020 week 15;201;173;229;VR Midden- en West-Brabant;VR20
2020 week 16;195;170;220;VR Midden- en West-Brabant;VR20
2020 week 17;191;164;218;VR Midden- en West-Brabant;VR20
2020 week 18;190;165;215;VR Midden- en West-Brabant;VR20
2020 week 19;189;161;217;VR Midden- en West-Brabant;VR20
2020 week 20;188;159;217;VR Midden- en West-Brabant;VR20
2020 week 21;186;157;215;VR Midden- en West-Brabant;VR20
2020 week 22;186;161;211;VR Midden- en West-Brabant;VR20
2020 week 23;186;158;214;VR Midden- en West-Brabant;VR20
2020 week 24;184;159;209;VR Midden- en West-Brabant;VR20
2020 week 25;185;159;211;VR Midden- en West-Brabant;VR20
2020 week 26;184;159;209;VR Midden- en West-Brabant;VR20
2020 week 27;184;160;208;VR Midden- en West-Brabant;VR20
2020 week 28;184;163;205;VR Midden- en West-Brabant;VR20
2020 week 29;183;160;206;VR Midden- en West-Brabant;VR20
2020 week 30;181;159;203;VR Midden- en West-Brabant;VR20
2020 week 31;182;158;206;VR Midden- en West-Brabant;VR20
2020 week 32;180;155;205;VR Midden- en West-Brabant;VR20
2020 week 33;178;155;201;VR Midden- en West-Brabant;VR20
2020 week 34;178;154;202;VR Midden- en West-Brabant;VR20
2020 week 35;178;153;203;VR Midden- en West-Brabant;VR20
2020 week 36;179;153;205;VR Midden- en West-Brabant;VR20
2020 week 37;180;155;205;VR Midden- en West-Brabant;VR20
2020 week 38;184;159;209;VR Midden- en West-Brabant;VR20
2020 week 39;185;156;214;VR Midden- en West-Brabant;VR20
2020 week 40;189;158;220;VR Midden- en West-Brabant;VR20
2020 week 41;192;162;222;VR Midden- en West-Brabant;VR20
2020 week 42;194;163;225;VR Midden- en West-Brabant;VR20
2020 week 43;196;165;227;VR Midden- en West-Brabant;VR20
2020 week 44;199;168;230;VR Midden- en West-Brabant;VR20
2020 week 45;198;166;230;VR Midden- en West-Brabant;VR20
2020 week 46;200;167;233;VR Midden- en West-Brabant;VR20
2020 week 47;202;166;238;VR Midden- en West-Brabant;VR20
2020 week 48;203;166;240;VR Midden- en West-Brabant;VR20
2020 week 49;205;164;246;VR Midden- en West-Brabant;VR20
2020 week 50;208;168;248;VR Midden- en West-Brabant;VR20
2020 week 51;212;169;255;VR Midden- en West-Brabant;VR20
2020 week 52;217;176;258;VR Midden- en West-Brabant;VR20
2020 week 53;221;182;260;VR Midden- en West-Brabant;VR20
2021 week 1;224;187;261;VR Midden- en West-Brabant;VR20
2021 week 2;228;190;266;VR Midden- en West-Brabant;VR20
2021 week 3;232;190;274;VR Midden- en West-Brabant;VR20
2021 week 4;236;195;277;VR Midden- en West-Brabant;VR20
2021 week 5;240;193;287;VR Midden- en West-Brabant;VR20
2021 week 6;241;189;293;VR Midden- en West-Brabant;VR20
2021 week 7;242;188;296;VR Midden- en West-Brabant;VR20
2021 week 8;240;182;298;VR Midden- en West-Brabant;VR20
2021 week 9;239;184;294;VR Midden- en West-Brabant;VR20
2021 week 10;235;185;285;VR Midden- en West-Brabant;VR20
2021 week 11;230;184;276;VR Midden- en West-Brabant;VR20
2021 week 12;222;183;261;VR Midden- en West-Brabant;VR20
2021 week 13;214;184;244;VR Midden- en West-Brabant;VR20
2021 week 14;209;180;238;VR Midden- en West-Brabant;VR20
2021 week 15;203;175;231;VR Midden- en West-Brabant;VR20
2021 week 16;197;172;222;VR Midden- en West-Brabant;VR20
2021 week 17;193;166;220;VR Midden- en West-Brabant;VR20
2021 week 18;191;166;216;VR Midden- en West-Brabant;VR20
2021 week 19;190;162;218;VR Midden- en West-Brabant;VR20
2021 week 20;190;161;219;VR Midden- en West-Brabant;VR20
2021 week 21;188;159;217;VR Midden- en West-Brabant;VR20
2021 week 22;188;163;213;VR Midden- en West-Brabant;VR20
2021 week 23;188;160;216;VR Midden- en West-Brabant;VR20
2021 week 24;186;161;211;VR Midden- en West-Brabant;VR20
2021 week 25;187;161;213;VR Midden- en West-Brabant;VR20
2021 week 26;186;161;211;VR Midden- en West-Brabant;VR20
2021 week 27;186;162;210;VR Midden- en West-Brabant;VR20
2021 week 28;186;165;207;VR Midden- en West-Brabant;VR20
2021 week 29;185;162;208;VR Midden- en West-Brabant;VR20
2021 week 30;183;161;205;VR Midden- en West-Brabant;VR20
2021 week 31;184;160;208;VR Midden- en West-Brabant;VR20
2021 week 32;182;157;207;VR Midden- en West-Brabant;VR20
2021 week 33;180;157;203;VR Midden- en West-Brabant;VR20
2021 week 34;179;155;203;VR Midden- en West-Brabant;VR20
2021 week 35;180;155;205;VR Midden- en West-Brabant;VR20
2021 week 36;181;155;207;VR Midden- en West-Brabant;VR20
2021 week 37;182;157;207;VR Midden- en West-Brabant;VR20
2021 week 38;185;160;210;VR Midden- en West-Brabant;VR20
2021 week 39;187;158;216;VR Midden- en West-Brabant;VR20
2021 week 40;191;160;222;VR Midden- en West-Brabant;VR20
2021 week 41;194;164;224;VR Midden- en West-Brabant;VR20
2021 week 42;196;165;227;VR Midden- en West-Brabant;VR20
2021 week 43;198;167;229;VR Midden- en West-Brabant;VR20
2021 week 44;201;170;232;VR Midden- en West-Brabant;VR20
2021 week 45;200;168;232;VR Midden- en West-Brabant;VR20
2021 week 46;202;169;235;VR Midden- en West-Brabant;VR20
2021 week 47;204;168;240;VR Midden- en West-Brabant;VR20
2021 week 48;205;168;242;VR Midden- en West-Brabant;VR20
2021 week 49;207;166;248;VR Midden- en West-Brabant;VR20
2021 week 50;210;170;250;VR Midden- en West-Brabant;VR20
2021 week 51;214;171;257;VR Midden- en West-Brabant;VR20
2021 week 52;219;178;260;VR Midden- en West-Brabant;VR20
2020 week 1;120;95;145;VR Brabant-Noord;VR21
2020 week 2;122;95;149;VR Brabant-Noord;VR21
2020 week 3;123;96;150;VR Brabant-Noord;VR21
2020 week 4;126;100;152;VR Brabant-Noord;VR21
2020 week 5;127;100;154;VR Brabant-Noord;VR21
2020 week 6;127;98;156;VR Brabant-Noord;VR21
2020 week 7;129;95;163;VR Brabant-Noord;VR21
2020 week 8;129;96;162;VR Brabant-Noord;VR21
2020 week 9;128;98;158;VR Brabant-Noord;VR21
2020 week 10;126;98;154;VR Brabant-Noord;VR21
2020 week 11;123;94;152;VR Brabant-Noord;VR21
2020 week 12;119;90;148;VR Brabant-Noord;VR21
2020 week 13;117;91;143;VR Brabant-Noord;VR21
2020 week 14;115;93;137;VR Brabant-Noord;VR21
2020 week 15;113;87;139;VR Brabant-Noord;VR21
2020 week 16;112;85;139;VR Brabant-Noord;VR21
2020 week 17;110;84;136;VR Brabant-Noord;VR21
2020 week 18;109;86;132;VR Brabant-Noord;VR21
2020 week 19;110;88;132;VR Brabant-Noord;VR21
2020 week 20;108;85;131;VR Brabant-Noord;VR21
2020 week 21;106;83;129;VR Brabant-Noord;VR21
2020 week 22;106;87;125;VR Brabant-Noord;VR21
2020 week 23;105;86;124;VR Brabant-Noord;VR21
2020 week 24;103;84;122;VR Brabant-Noord;VR21
2020 week 25;103;83;123;VR Brabant-Noord;VR21
2020 week 26;101;82;120;VR Brabant-Noord;VR21
2020 week 27;102;81;123;VR Brabant-Noord;VR21
2020 week 28;102;80;124;VR Brabant-Noord;VR21
2020 week 29;100;78;122;VR Brabant-Noord;VR21
2020 week 30;101;82;120;VR Brabant-Noord;VR21
2020 week 31;101;82;120;VR Brabant-Noord;VR21
2020 week 32;99;79;119;VR Brabant-Noord;VR21
2020 week 33;99;82;116;VR Brabant-Noord;VR21
2020 week 34;98;82;114;VR Brabant-Noord;VR21
2020 week 35;100;85;115;VR Brabant-Noord;VR21
2020 week 36;100;84;116;VR Brabant-Noord;VR21
2020 week 37;99;79;119;VR Brabant-Noord;VR21
2020 week 38;102;81;123;VR Brabant-Noord;VR21
2020 week 39;103;83;123;VR Brabant-Noord;VR21
2020 week 40;104;83;125;VR Brabant-Noord;VR21
2020 week 41;106;85;127;VR Brabant-Noord;VR21
2020 week 42;106;86;126;VR Brabant-Noord;VR21
2020 week 43;108;87;129;VR Brabant-Noord;VR21
2020 week 44;110;91;129;VR Brabant-Noord;VR21
2020 week 45;110;91;129;VR Brabant-Noord;VR21
2020 week 46;111;90;132;VR Brabant-Noord;VR21
2020 week 47;113;92;134;VR Brabant-Noord;VR21
2020 week 48;115;90;140;VR Brabant-Noord;VR21
2020 week 49;116;89;143;VR Brabant-Noord;VR21
2020 week 50;116;89;143;VR Brabant-Noord;VR21
2020 week 51;119;92;146;VR Brabant-Noord;VR21
2020 week 52;120;95;145;VR Brabant-Noord;VR21
2020 week 53;121;96;146;VR Brabant-Noord;VR21
2021 week 1;122;97;147;VR Brabant-Noord;VR21
2021 week 2;123;96;150;VR Brabant-Noord;VR21
2021 week 3;125;98;152;VR Brabant-Noord;VR21
2021 week 4;127;101;153;VR Brabant-Noord;VR21
2021 week 5;128;101;155;VR Brabant-Noord;VR21
2021 week 6;128;99;157;VR Brabant-Noord;VR21
2021 week 7;130;96;164;VR Brabant-Noord;VR21
2021 week 8;130;97;163;VR Brabant-Noord;VR21
2021 week 9;129;99;159;VR Brabant-Noord;VR21
2021 week 10;127;99;155;VR Brabant-Noord;VR21
2021 week 11;124;95;153;VR Brabant-Noord;VR21
2021 week 12;121;92;150;VR Brabant-Noord;VR21
2021 week 13;118;92;144;VR Brabant-Noord;VR21
2021 week 14;116;94;138;VR Brabant-Noord;VR21
2021 week 15;114;88;140;VR Brabant-Noord;VR21
2021 week 16;113;86;140;VR Brabant-Noord;VR21
2021 week 17;111;85;137;VR Brabant-Noord;VR21
2021 week 18;110;87;133;VR Brabant-Noord;VR21
2021 week 19;111;89;133;VR Brabant-Noord;VR21
2021 week 20;110;87;133;VR Brabant-Noord;VR21
2021 week 21;107;84;130;VR Brabant-Noord;VR21
2021 week 22;107;88;126;VR Brabant-Noord;VR21
2021 week 23;106;87;125;VR Brabant-Noord;VR21
2021 week 24;104;85;123;VR Brabant-Noord;VR21
2021 week 25;104;84;124;VR Brabant-Noord;VR21
2021 week 26;102;83;121;VR Brabant-Noord;VR21
2021 week 27;103;82;124;VR Brabant-Noord;VR21
2021 week 28;103;81;125;VR Brabant-Noord;VR21
2021 week 29;101;79;123;VR Brabant-Noord;VR21
2021 week 30;102;83;121;VR Brabant-Noord;VR21
2021 week 31;102;83;121;VR Brabant-Noord;VR21
2021 week 32;100;80;120;VR Brabant-Noord;VR21
2021 week 33;100;83;117;VR Brabant-Noord;VR21
2021 week 34;99;83;115;VR Brabant-Noord;VR21
2021 week 35;101;86;116;VR Brabant-Noord;VR21
2021 week 36;101;85;117;VR Brabant-Noord;VR21
2021 week 37;100;80;120;VR Brabant-Noord;VR21
2021 week 38;103;82;124;VR Brabant-Noord;VR21
2021 week 39;104;84;124;VR Brabant-Noord;VR21
2021 week 40;105;84;126;VR Brabant-Noord;VR21
2021 week 41;107;86;128;VR Brabant-Noord;VR21
2021 week 42;107;87;127;VR Brabant-Noord;VR21
2021 week 43;109;88;130;VR Brabant-Noord;VR21
2021 week 44;111;92;130;VR Brabant-Noord;VR21
2021 week 45;111;92;130;VR Brabant-Noord;VR21
2021 week 46;113;92;134;VR Brabant-Noord;VR21
2021 week 47;114;93;135;VR Brabant-Noord;VR21
2021 week 48;116;91;141;VR Brabant-Noord;VR21
2021 week 49;117;90;144;VR Brabant-Noord;VR21
2021 week 50;117;90;144;VR Brabant-Noord;VR21
2021 week 51;120;93;147;VR Brabant-Noord;VR21
2021 week 52;121;96;146;VR Brabant-Noord;VR21
2020 week 1;143;113;173;Brabant-Zuidoost;VR22
2020 week 2;143;114;172;Brabant-Zuidoost;VR22
2020 week 3;147;117;177;Brabant-Zuidoost;VR22
2020 week 4;148;120;176;Brabant-Zuidoost;VR22
2020 week 5;151;120;182;Brabant-Zuidoost;VR22
2020 week 6;153;122;184;Brabant-Zuidoost;VR22
2020 week 7;154;122;186;Brabant-Zuidoost;VR22
2020 week 8;154;118;190;Brabant-Zuidoost;VR22
2020 week 9;153;114;192;Brabant-Zuidoost;VR22
2020 week 10;151;115;187;Brabant-Zuidoost;VR22
2020 week 11;150;111;189;Brabant-Zuidoost;VR22
2020 week 12;148;112;184;Brabant-Zuidoost;VR22
2020 week 13;143;106;180;Brabant-Zuidoost;VR22
2020 week 14;139;105;173;Brabant-Zuidoost;VR22
2020 week 15;135;107;163;Brabant-Zuidoost;VR22
2020 week 16;132;108;156;Brabant-Zuidoost;VR22
2020 week 17;128;104;152;Brabant-Zuidoost;VR22
2020 week 18;126;107;145;Brabant-Zuidoost;VR22
2020 week 19;125;108;142;Brabant-Zuidoost;VR22
2020 week 20;124;108;140;Brabant-Zuidoost;VR22
2020 week 21;124;106;142;Brabant-Zuidoost;VR22
2020 week 22;122;106;138;Brabant-Zuidoost;VR22
2020 week 23;121;103;139;Brabant-Zuidoost;VR22
2020 week 24;121;100;142;Brabant-Zuidoost;VR22
2020 week 25;121;100;142;Brabant-Zuidoost;VR22
2020 week 26;119;95;143;Brabant-Zuidoost;VR22
2020 week 27;118;95;141;Brabant-Zuidoost;VR22
2020 week 28;117;95;139;Brabant-Zuidoost;VR22
2020 week 29;118;96;140;Brabant-Zuidoost;VR22
2020 week 30;118;97;139;Brabant-Zuidoost;VR22
2020 week 31;117;97;137;Brabant-Zuidoost;VR22
2020 week 32;117;95;139;Brabant-Zuidoost;VR22
2020 week 33;116;95;137;Brabant-Zuidoost;VR22
2020 week 34;118;98;138;Brabant-Zuidoost;VR22
2020 week 35;119;98;140;Brabant-Zuidoost;VR22
2020 week 36;118;97;139;Brabant-Zuidoost;VR22
2020 week 37;121;98;144;Brabant-Zuidoost;VR22
2020 week 38;123;100;146;Brabant-Zuidoost;VR22
2020 week 39;124;101;147;Brabant-Zuidoost;VR22
2020 week 40;126;103;149;Brabant-Zuidoost;VR22
2020 week 41;126;101;151;Brabant-Zuidoost;VR22
2020 week 42;127;104;150;Brabant-Zuidoost;VR22
2020 week 43;130;109;151;Brabant-Zuidoost;VR22
2020 week 44;131;112;150;Brabant-Zuidoost;VR22
2020 week 45;131;114;148;Brabant-Zuidoost;VR22
2020 week 46;134;114;154;Brabant-Zuidoost;VR22
2020 week 47;136;116;156;Brabant-Zuidoost;VR22
2020 week 48;138;117;159;Brabant-Zuidoost;VR22
2020 week 49;140;117;163;Brabant-Zuidoost;VR22
2020 week 50;139;113;165;Brabant-Zuidoost;VR22
2020 week 51;140;112;168;Brabant-Zuidoost;VR22
2020 week 52;142;112;172;Brabant-Zuidoost;VR22
2020 week 53;143;113;173;Brabant-Zuidoost;VR22
2021 week 1;144;114;174;Brabant-Zuidoost;VR22
2021 week 2;145;116;174;Brabant-Zuidoost;VR22
2021 week 3;148;118;178;Brabant-Zuidoost;VR22
2021 week 4;150;122;178;Brabant-Zuidoost;VR22
2021 week 5;152;121;183;Brabant-Zuidoost;VR22
2021 week 6;155;124;186;Brabant-Zuidoost;VR22
2021 week 7;155;123;187;Brabant-Zuidoost;VR22
2021 week 8;156;120;192;Brabant-Zuidoost;VR22
2021 week 9;155;116;194;Brabant-Zuidoost;VR22
2021 week 10;152;116;188;Brabant-Zuidoost;VR22
2021 week 11;152;113;191;Brabant-Zuidoost;VR22
2021 week 12;149;113;185;Brabant-Zuidoost;VR22
2021 week 13;145;108;182;Brabant-Zuidoost;VR22
2021 week 14;141;107;175;Brabant-Zuidoost;VR22
2021 week 15;136;108;164;Brabant-Zuidoost;VR22
2021 week 16;134;110;158;Brabant-Zuidoost;VR22
2021 week 17;130;106;154;Brabant-Zuidoost;VR22
2021 week 18;127;108;146;Brabant-Zuidoost;VR22
2021 week 19;126;109;143;Brabant-Zuidoost;VR22
2021 week 20;125;109;141;Brabant-Zuidoost;VR22
2021 week 21;125;107;143;Brabant-Zuidoost;VR22
2021 week 22;123;107;139;Brabant-Zuidoost;VR22
2021 week 23;122;104;140;Brabant-Zuidoost;VR22
2021 week 24;122;101;143;Brabant-Zuidoost;VR22
2021 week 25;122;101;143;Brabant-Zuidoost;VR22
2021 week 26;120;96;144;Brabant-Zuidoost;VR22
2021 week 27;119;96;142;Brabant-Zuidoost;VR22
2021 week 28;118;96;140;Brabant-Zuidoost;VR22
2021 week 29;119;97;141;Brabant-Zuidoost;VR22
2021 week 30;119;98;140;Brabant-Zuidoost;VR22
2021 week 31;118;98;138;Brabant-Zuidoost;VR22
2021 week 32;118;96;140;Brabant-Zuidoost;VR22
2021 week 33;117;96;138;Brabant-Zuidoost;VR22
2021 week 34;119;99;139;Brabant-Zuidoost;VR22
2021 week 35;120;99;141;Brabant-Zuidoost;VR22
2021 week 36;119;98;140;Brabant-Zuidoost;VR22
2021 week 37;122;99;145;Brabant-Zuidoost;VR22
2021 week 38;124;101;147;Brabant-Zuidoost;VR22
2021 week 39;125;102;148;Brabant-Zuidoost;VR22
2021 week 40;127;104;150;Brabant-Zuidoost;VR22
2021 week 41;127;102;152;Brabant-Zuidoost;VR22
2021 week 42;128;105;151;Brabant-Zuidoost;VR22
2021 week 43;131;110;152;Brabant-Zuidoost;VR22
2021 week 44;133;114;152;Brabant-Zuidoost;VR22
2021 week 45;132;115;149;Brabant-Zuidoost;VR22
2021 week 46;135;115;155;Brabant-Zuidoost;VR22
2021 week 47;138;118;158;Brabant-Zuidoost;VR22
2021 week 48;139;118;160;Brabant-Zuidoost;VR22
2021 week 49;141;118;164;Brabant-Zuidoost;VR22
2021 week 50;141;115;167;Brabant-Zuidoost;VR22
2021 week 51;141;113;169;Brabant-Zuidoost;VR22
2021 week 52;143;113;173;Brabant-Zuidoost;VR22
2020 week 1;105;79;131;Limburg-Noord;VR23
2020 week 2;108;81;135;Limburg-Noord;VR23
2020 week 3;110;82;138;Limburg-Noord;VR23
2020 week 4;113;85;141;Limburg-Noord;VR23
2020 week 5;115;88;142;Limburg-Noord;VR23
2020 week 6;115;88;142;Limburg-Noord;VR23
2020 week 7;116;89;143;Limburg-Noord;VR23
2020 week 8;116;87;145;Limburg-Noord;VR23
2020 week 9;113;84;142;Limburg-Noord;VR23
2020 week 10;111;84;138;Limburg-Noord;VR23
2020 week 11;109;83;135;Limburg-Noord;VR23
2020 week 12;106;79;133;Limburg-Noord;VR23
2020 week 13;105;81;129;Limburg-Noord;VR23
2020 week 14;102;81;123;Limburg-Noord;VR23
2020 week 15;99;79;119;Limburg-Noord;VR23
2020 week 16;97;79;115;Limburg-Noord;VR23
2020 week 17;95;77;113;Limburg-Noord;VR23
2020 week 18;93;74;112;Limburg-Noord;VR23
2020 week 19;92;75;109;Limburg-Noord;VR23
